alpha_2,alpha_3,numeric
AX,ALA,248
DZ,DZA,012
AD,AND,020
AI,AIA,660
AG,ATG,028
AM,ARM,051
AU,AUS,036
AZ,AZE,031
BH,BHR,048
BB,BRB,052
BE,BEL,056
BJ,BEN,204
BT,BTN,064
BQ,BES,535
BW,BWA,072
BR,BRA,076
BN,BRN,096
BF,BFA,854
KH,KHM,116
CA,CAN,124
KY,CYM,136
TD,TCD,148
CN,CHN,156
CC,CCK,166
KM,COM,174
CD,COD,180
CR,CRI,188
HR,HRV,191
CW,CUW,531
CZ,CZE,203
DJ,DJI,262
DO,DOM,214
EG,EGY,818
GQ,GNQ,226
EE,EST,233
FK,FLK,238
FJ,FJI,242
FR,FRA,250
PF,PYF,258
GA,GAB,266
GE,GEO,268
GH,GHA,288
GR,GRC,300
GD,GRD,308
GU,GUM,316
GG,GGY,831
GW,GNB,624
HT,HTI,332
HN,HND,340
HU,HUN,348
IN,IND,356
IR,IRN,364
IE,IRL,372
IL,ISR,376
JM,JAM,388
JE,JEY,832
KZ,KAZ,398
KI,KIR,296
KR,KOR,410
KG,KGZ,417
LV,LVA,428
LS,LSO,426
LY,LBY,434
LT,LTU,440
MO,MAC,446
MG,MDG,450
MY,MYS,458
ML,MLI,466
MH,MHL,584
MR,MRT,478
YT,MYT,175
FM,FSM,583
MC,MCO,492
ME,MNE,499
MA,MAR,504
MM,MMR,104
NR,NRU,520
NL,NLD,528
NZ,NZL,554
NE,NER,562
NU,NIU,570
MP,MNP,580
OM,OMN,512
PW,PLW,585
PA,PAN,591
PY,PRY,600
PH,PHL,608
PL,POL,616
PR,PRI,630
RE,REU,638
RU,RUS,643
BL,BLM,652
KN,KNA,659
MF,MAF,663
VC,VCT,670
SM,SMR,674
SA,SAU,682
RS,SRB,688
SL,SLE,694
SX,SXM,534
SI,SVN,705
SO,SOM,706
GS,SGS,239
ES,ESP,724
SD,SDN,729
SJ,SJM,744
SE,SWE,752
SY,SYR,760
TJ,TJK,762
TH,THA,764
TG,TGO,768
TO,TON,776
TN,TUN,788
TM,TKM,795
TV,TUV,798
UA,UKR,804
GB,GBR,826
US,USA,840
UZ,UZB,860
VA,VAT,336
VN,VNM,704
VI,VIR,850
EH,ESH,732
ZM,ZMB,894
AF,AFG,004
AL,ALB,008
AS,ASM,016
AO,AGO,024
AQ,ATA,010
AR,ARG,032
AW,ABW,533
AT,AUT,040
BS,BHS,044
BD,BGD,050
BY,BLR,112
BZ,BLZ,084
BM,BMU,060
BO,BOL,068
BA,BIH,070
BV,BVT,074
IO,IOT,086
BG,BGR,100
BI,BDI,108
CM,CMR,120
CV,CPV,132
CF,CAF,140
CL,CHL,152
CX,CXR,162
CO,COL,170
CG,COG,178
CK,COK,184
CI,CIV,384
CU,CUB,192
CY,CYP,196
DK,DNK,208
DM,DMA,212
EC,ECU,218
SV,SLV,222
ER,ERI,232
ET,ETH,231
FO,FRO,234
FI,FIN,246
GF,GUF,254
TF,ATF,260
GM,GMB,270
DE,DEU,276
GI,GIB,292
GL,GRL,304
GP,GLP,312
GT,GTM,320
GN,GIN,324
GY,GUY,328
HM,HMD,334
HK,HKG,344
IS,ISL,352
ID,IDN,360
IQ,IRQ,368
IM,IMN,833
IT,ITA,380
JP,JPN,392
JO,JOR,400
KE,KEN,404
KP,PRK,408
KW,KWT,414
LA,LAO,418
LB,LBN,422
LR,LBR,430
LI,LIE,438
LU,LUX,442
MK,MKD,807
MW,MWI,454
MV,MDV,462
MT,MLT,470
MQ,MTQ,474
MU,MUS,480
MX,MEX,484
MD,MDA,498
MN,MNG,496
MS,MSR,500
MZ,MOZ,508
NA,NAM,516
NP,NPL,524
NC,NCL,540
NI,NIC,558
NG,NGA,566
NF,NFK,574
NO,NOR,578
PK,PAK,586
PS,PSE,275
PG,PNG,598
PE,PER,604
PN,PCN,612
PT,PRT,620
QA,QAT,634
RO,ROU,642
RW,RWA,646
SH,SHN,654
LC,LCA,662
PM,SPM,666
WS,WSM,882
ST,STP,678
SN,SEN,686
SC,SYC,690
SG,SGP,702
SK,SVK,703
SB,SLB,090
ZA,ZAF,710
SS,SSD,728
LK,LKA,144
SR,SUR,740
SZ,SWZ,748
CH,CHE,756
TW,TWN,158
TZ,TZA,834
TL,TLS,626
TK,TKL,772
TT,TTO,780
TR,TUR,792
TC,TCA,796
UG,UGA,800
AE,ARE,784
UM,UMI,581
UY,URY,858
VU,VUT,548
VE,VEN,862
VG,VGB,092
WF,WLF,876
YE,YEM,887
ZW,ZWE,716
